genre,frequency
hip hop,823
pop,810
rb,775
canadian hip hop,572
canadian contemporary rb,550
atl hip hop,522
bedroom pop,492
afrofuturism,421
rap,363
conscious hip hop,359
alternative rb,279
lgbtq hip hop,256
chicago rap,168
alternative pop rock,161
colombian pop,144
dance pop,144
pov indie,143
east coast hip hop,113
experimental rb,93
barbadian pop,79
modern indie pop,61
art pop,60
kpop,48
uk alternative hip hop,47
australian psych,46
edmonton indie,45
pop rap,41
kentucky hip hop,39
indie rock,36
indie pop,34
melodic rap,31
reggaeton,30
modern alternative rock,25
atlanta indie,21
canadian latin,20
folktronica,16
puerto rican pop,16
boy band,15
indie soul,15
la indie,15
alt z,14
indie hip hop,14
afro rb,13
british soul,13
newcastle nsw indie,12
deep underground hip hop,11
alaska indie,10
canadian pop,10
chill abstract hip hop,10
latin hip hop,10
abstract hip hop,8
lofi indie,8
acoustic pop,7
argentine hip hop,7
folkpop,7
neo soul,7
noise pop,7
afroswing,6
album rock,6
florida drill,6
garage rock,6
madchester,6
modern rock,6
singersongwriter pop,6
ambient pop,5
brooklyn indie,5
brostep,5
classic oklahoma country,5
edm,5
latin pop,5
new jersey rap,5
alternative hip hop,4
austindie,4
bedroom rb,4
bedroom soul,4
contemporary rb,4
dark clubbing,4
indie pop rap,4
pluggnb,4
afrobeats,3
gen z singersongwriter,3
korean rb,3
melancholia,3
pittsburgh rap,3
pop soul,3
stutter house,3
viral pop,3
viral rap,3
blues rock,2
bubblegrunge,2
chamber pop,2
dark trap,2
hip pop,2
indie rb,2
irish rock,2
irish singersongwriter,2
lilith,2
modern country pop,2
movie tunes,2
nyc pop,2
philly indie,2
uk contemporary rb,2
australian reggae fusion,1
baroque pop,1
bossa nova,1
british folk,1
chicago indie,1
chill rb,1
chillwave,1
classic rock,1
columbus ohio indie,1
corecore,1
countrygaze,1
disco,1
dream pop,1
dreamo,1
electro,1
emo rap,1
escape room,1
experimental pop,1
funk carioca,1
hypnagogic pop,1
indie folk,1
indie garage rock,1
indie poptimism,1
korean pop,1
krap,1
latinx alternative,1
melodic drill,1
metropopolis,1
neo mellow,1
neon pop punk,1
nyc rap,1
piano rock,1
pop rock,1
power metal,1
rap canario,1
uk alternative pop,1
vapor pop,1
